,Refcode,Composition,Temperature,X_t1,X_t2,X_d1,X_d2,X_d3,X_d4,t1_t2,t1_d1,t1_d2,t1_d3,t1_d4,t2_d1,t2_d2,t2_d3,t2_d4,d1_d2,d1_d3,d1_d4,d2_d3,d2_d4,d3_d4,d_average,delta_d,sigma_2,N_XX,N_VdW,XX_min,XX_average,VdW_average,XXmin_2r,XXaver_2r,VdW_2r,M,I,Br,Cl,Bandgap
10,AYEPAX01,Bi_I,150.0,2.9226,2.9298,3.2553,3.1203,3.2395,3.0558,95.825,92.38,96.461,172.688,87.134,170.743,87.648,88.087,93.227,87.178,84.231,91.451,89.855,176.199,86.479,3.0872,0.00184317,14.9934,6.0,4.0,3.7787,4.001,3.8968,0.8996904761904762,0.9526190476190477,0.9278095238095238,0.0,1.0,0.0,0,1.92
11,CENHEL,Sb_I,150.0,2.8278,2.8592,3.2168,2.9883,3.2804,3.0533,94.335,89.616,94.073,172.92,88.16,174.422,88.351,92.03,93.844,87.441,84.254,90.212,89.201,176.748,88.323,3.0376,0.00306311,9.4174,6.0,2.0,3.8101,4.1283,3.8101,0.9071666666666666,0.9829285714285715,0.9071666666666666,1.0,1.0,0.0,0,2.17
12,CENMEQ,Sb_I,150.0,2.8385,2.8559,3.2656,3.0683,3.2761,2.9886,94.348,94.43,95.552,174.117,87.478,169.054,87.769,89.115,95.912,84.886,82.705,90.994,89.326,175.055,87.435,3.0488,0.00330107,18.529,4.0,1.0,3.8505,4.4794,3.8505,0.9167857142857142,1.0665238095238094,0.9167857142857142,1.0,1.0,0.0,0,2.13
13,CENMIU,Bi_I,150.0,2.9174,2.9296,3.2783,3.1222,3.2878,3.0511,94.815,94.864,96.871,174.119,87.284,168.475,87.288,88.83,96.542,85.358,82.05,90.151,87.896,174.115,87.718,3.0977,0.0022977,22.4872,4.0,1.0,3.7872,4.3824,3.7872,0.9017142857142857,1.0434285714285714,0.9017142857142857,0.0,1.0,0.0,0,2.05
14,CENNER,Sb_I,150.0,2.84,2.8498,3.2435,3.0671,3.2371,2.9895,95.468,91.598,95.029,172.379,87.569,171.317,87.469,88.74,92.776,86.89,84.815,92.559,91.495,177.357,85.881,3.0378,0.00288408,12.8781,6.0,4.0,3.7961,4.0108,3.9026,0.9038333333333333,0.9549523809523809,0.9291904761904761,1.0,1.0,0.0,0,2.12
15,CENNER01,Sb_I,150.0,2.8206,2.87,3.1943,3.1283,3.2946,2.9418,92.996,89.921,96.747,175.458,91.11,175.916,87.606,90.369,91.686,89.214,86.875,91.116,86.435,172.137,85.739,3.0416,0.00329846,9.7219,8.0,4.0,3.8779,4.2765,3.8949,0.9233095238095238,1.0182142857142857,0.9273571428571428,1.0,1.0,0.0,0,2.12
16,CENNUH,Sb_I,150.0,2.8331,2.8373,3.2605,3.0328,3.2717,3.023,95.675,91.245,93.33,171.739,89.335,172.093,88.946,91.576,93.898,86.832,81.805,89.994,90.75,175.897,86.221,3.0431,0.00335636,14.1921,2.0,2.0,4.0558,4.0558,4.0558,0.9656666666666666,0.9656666666666666,0.9656666666666666,1.0,1.0,0.0,0,2.33
17,CENQIY,Bi_I,150.0,2.9132,2.9132,3.2873,3.0928,3.2873,3.0928,96.118,91.195,94.242,171.953,89.152,171.953,89.152,91.195,94.242,86.956,81.717,89.207,89.207,174.927,86.956,3.0978,0.00243196,15.101,4.0,4.0,3.9358,3.9358,3.9358,0.9370952380952381,0.9370952380952381,0.9370952380952381,0.0,1.0,0.0,0,2.03
18,COPWEK,Bi_I,293.0,2.9241,2.9663,3.213,3.1947,3.3,3.0294,93.593,90.335,95.757,169.293,89.338,166.156,81.234,94.754,92.088,85.169,83.117,101.236,92.136,171.821,83.671,3.1046,0.00199569,35.6352,3.0,0.0,4.2727,4.3367,4.2727,1.0173095238095238,1.032547619047619,1.0173095238095238,0.0,1.0,0.0,0,2.1
19,COXYUM,Bi Sb_I,297.0,2.8354,3.0662,3.0726,3.063,3.3627,3.0726,92.317,92.284,91.196,169.938,90.975,175.346,90.221,87.818,89.841,89.344,87.544,90.43,88.947,176.366,89.126,3.0788,0.00334206,13.4821,5.5,4.0,3.9458,4.2593,4.0443,0.9394761904761905,1.0141190476190476,0.9629285714285714,0.5,1.0,0.0,0,2.03
20,COXZAT,Sb_I,100.0,2.7982,2.8762,3.2124,3.0332,3.382,3.0537,94.016,87.74,93.961,169.492,89.619,178.096,89.249,95.756,90.536,89.894,82.544,90.213,90.028,176.42,86.437,3.0593,0.00409554,12.6725,7.0,4.0,3.9157,4.1994,3.9935,0.9323095238095238,0.9998571428571428,0.9508333333333333,1.0,1.0,0.0,0,2.2
21,COXZAT01,Sb_I,296.0,2.8215,2.8215,3.3335,3.0451,3.3335,3.0451,94.733,89.456,91.474,175.315,90.149,175.315,90.149,89.456,91.474,87.642,86.439,90.611,90.611,177.603,87.642,3.0667,0.00467045,4.721,8.0,8.0,4.1332,4.144,4.144,0.9840952380952381,0.9866666666666667,0.9866666666666667,1.0,1.0,0.0,0,2.2
22,COXZEX,Bi_Br I,296.0,2.8349,2.9012,3.2199,3.0918,3.3514,3.089,94.482,87.563,94.18,169.667,90.043,177.787,89.811,95.44,91.16,89.197,82.56,89.681,88.733,175.58,86.882,3.0814,0.00325585,12.9003,7.0,6.0,3.8761,4.1664,4.0367,0.9812911392405063,1.0547848101265822,1.0219493670886075,0.0,0.5,0.5,0,2.13
23,COXZIB,Sb_Br I,293.0,2.7305,2.7305,3.2994,3.014,3.2994,3.014,94.298,89.743,91.537,175.889,90.391,175.889,90.391,89.743,91.537,88.741,86.227,89.191,89.191,177.166,88.741,3.0146,0.00593544,3.85,8.0,8.0,3.9965,4.0206,4.0206,1.0117721518987342,1.017873417721519,1.017873417721519,1.0,0.5,0.5,0,2.41
24,COXZOH,Bi Sb_Br I,100.0,2.7825,2.7825,3.278,3.0384,3.278,3.0384,94.234,90.002,91.378,175.74,90.952,175.74,90.952,90.002,91.378,88.497,85.765,88.994,88.994,176.576,88.497,3.033,0.00444997,4.365,8.0,8.0,3.9922,4.0052,4.0052,1.0106835443037974,1.0139746835443038,1.0139746835443038,0.5,0.5,0.5,0,2.27
25,COXZUN,Bi_Br,297.0,2.6428,2.7084,3.0609,2.8877,3.1814,2.8814,93.744,87.014,93.466,169.449,90.012,176.696,89.306,95.781,91.074,87.437,83.734,92.143,91.183,176.47,85.287,2.8938,0.00414386,13.0944,6.0,2.0,3.7986,3.9351,4.0052,1.0266486486486486,1.0635405405405405,1.0824864864864865,0.0,0.0,1.0,0,2.55
26,COXZUN01,Bi_Br,160.0,2.6431,2.7079,3.062,2.8846,3.1822,2.8787,93.701,87.02,93.451,169.463,90.018,176.605,89.314,95.755,91.047,87.33,83.81,92.271,91.301,176.482,85.181,2.8931,0.0041654,13.1538,6.0,0.0,3.8043,3.9382,3.8043,1.0281891891891892,1.0643783783783785,1.0281891891891892,0.0,0.0,1.0,0,2.55
27,COYBAW,Sb_Br,100.0,2.5553,2.6071,3.1371,2.8246,3.27,2.8114,93.862,85.768,91.946,169.385,89.235,176.52,88.278,95.55,89.736,88.277,85.132,93.718,93.231,177.753,85.915,2.8676,0.00820774,12.6046,6.0,0.0,3.843,3.9487,3.843,1.0386486486486486,1.0672162162162162,1.0386486486486486,1.0,0.0,1.0,0,2.73
28,ENIKIV,Sb_Br,220.0,2.5506,2.5991,3.1438,2.8209,3.2711,2.8071,93.914,85.697,92.044,169.434,89.142,175.994,88.316,95.161,89.869,87.713,85.624,94.111,93.619,177.895,85.482,2.8654,0.00847456,13.0025,6.0,0.0,3.8676,3.9702,3.8676,1.0452972972972971,1.073027027027027,1.0452972972972971,1.0,0.0,1.0,0,2.73
