,Refcode,DOI,Authors,Journal,Journal year,Journal volume,Journal page or number,Cation SMILES,Cation substructure SMILES,Space group,Int Tables number,Temperature,a,b,c,alpha,beta,gamma,V,Z,R factor,MX4 type,M,X,X_t1,X_t2,X_d1,X_d2,X_d3,X_d4,t1_t2,t1_d1,t1_d2,t1_d3,t1_d4,t2_d1,t2_d2,t2_d3,t2_d4,d1_d2,d1_d3,d1_d4,d2_d3,d2_d4,d3_d4,d_average,delta_d,sigma_2,X...X contacts,VdW contacts,N_XX,N_VdW,XX_min,XX_average,VdW_average,Type of bandgap,Bandgap,Bangap estimation comments
0,AGODEI,10.1016/j.mencom.2018.09.012,"P.A.Buikin, A.B.Ilyukhin, A.E.Baranchikov, K.E.Yorov, V.Yu.Kotov",Mendeleev Commun. ,2018,28.0,490,[nH+]1c(N)cccc1,[nH+]1c(N)cccc1,Pbcn,60,150.0,11.8999,15.1567,7.6774,90.0,90.0,90.0,1384.721,4,2.67,alpha,Bi,I,2.9415,2.9415,3.2501,3.0779,3.2501,3.0779,100.505,90.072,94.778,167.921,86.864,167.921,86.864,90.072,94.778,86.451,80.071,91.585,91.585,177.438,86.451,3.0898,0.00166999,27.6812,3.9399 3.9399 3.9399 3.9399 4.4849 4.4849 4.4849 4.4849,3.9399 3.9399 3.9399 3.9399,8.0,4.0,3.9399,4.2124,3.9399,direct,2.0,
1,AGODIM,10.1016/j.mencom.2018.09.012,"P.A.Buikin, A.B.Ilyukhin, A.E.Baranchikov, K.E.Yorov, V.Yu.Kotov",Mendeleev Commun. ,2018,28.0,490,[nH+]1cc(N)ccc1,[nH+]1cc(N)ccc1,P21/c,14,150.0,7.666,14.1101,12.9262,90.0,93.285,90.0,1395.904,4,3.29,alpha,Bi,I,2.9063,2.9142,3.2527,3.0931,3.3108,3.1059,93.176,90.487,91.634,177.585,90.714,176.076,89.931,89.135,93.715,88.559,87.22,87.64,89.067,175.548,88.436,3.0972,0.00242951,4.2499,3.9611 3.9611 4.1119 4.1119 4.1668 4.1668,3.9611 3.9611 4.1119 4.1119 4.1668 4.1668,6.0,6.0,3.9611,4.0799,4.0799,direct,2.07,
2,AGODOS,10.1016/j.mencom.2018.09.012,"P.A.Buikin, A.B.Ilyukhin, A.E.Baranchikov, K.E.Yorov, V.Yu.Kotov",Mendeleev Commun. ,2018,28.0,490,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,Pbcn,60,120.0,12.2131,14.8489,7.5997,90.0,90.0,90.0,1378.214,4,2.07,alpha,Bi,I,2.9566,2.9566,3.1915,3.0724,3.1915,3.0724,98.029,90.864,95.538,169.235,86.183,169.235,86.183,90.864,95.538,86.936,80.996,91.075,91.075,177.386,86.936,3.0735,0.00097359,23.5087,3.9195 3.9195 3.9195 3.9195 4.477 4.477 4.477 4.477,3.9195 3.9195 3.9195 3.9195,8.0,4.0,3.9195,4.1982,3.9195,direct,1.97,
3,AGODOS01,10.1021/acs.inorgchem.9b01439,"Yue-Qiao Hu, Hong-Yan Hui, Wei-Quan Lin, Hong-Qiang Wen, De-Suo Yang, Guo-Dong Feng",Inorg.Chem. ,2019,58.0,16346,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,Pbcn,60,297.0,12.339,14.974,7.746,90.0,90.0,90.0,1431.183,4,1.7,alpha,Bi,I,2.9624,2.9624,3.2304,3.0933,3.2304,3.0933,97.801,90.625,94.803,169.534,86.839,169.534,86.839,90.625,94.803,86.278,81.729,91.836,91.836,177.509,86.278,3.0954,0.0012496,20.9651,3.9932 3.9932 3.9932 3.9932 4.5914 4.5914 4.5914 4.5914,3.9932 3.9932 3.9932 3.9932,8.0,4.0,3.9932,4.2923,3.9932,direct,1.94,
4,AGODOS02,10.1039/D3DT02910G,"G.Abdi, M.Gryl, A.Slawek, E.Kowalewska, T.Mazur, A.Podborska, K.Mech, P.Zawal, A.Pritam, Angelika Kmita, L.Alluhaibi, A.Maximenko, C.Vijayakumar, K.Szacilowski",Dalton Trans. ,2023,52.0,14649,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,Pbcn,60,100.0,12.2049,14.8651,7.6069,90.0,90.0,90.0,1380.097,4,2.02,alpha,Bi,I,2.9619,2.9619,3.1958,3.0777,3.1958,3.0777,98.001,90.945,95.542,169.203,86.181,169.203,86.181,90.945,95.542,86.952,80.858,91.054,91.054,177.382,86.952,3.0785,0.00096218,23.7071,3.9123 3.9123 3.9123 3.9123 4.473 4.473 4.473 4.473,3.9123 3.9123 3.9123 3.9123,8.0,4.0,3.9123,4.1927,3.9123,direct,1.91,
5,AQALEM,10.1080/24701556.2021.1897137,"Jiahua Guo, Yuqi Zhang, Shouwen Jin, Xiaoyun Ye, Kaikai Hu, Weiqiang Xu, Daqi Wang",Inorg.Nano-Metal Chem. ,2021,,1,c1ccccc1C[NH+](C)C,c1ccccc1C[NH+](C)C,Cc,9,298.0,13.167,15.1001,8.1195,90.0,111.175,90.0,1505.345,4,3.0,alpha,Sb,Cl,2.361,2.3992,2.9242,2.4468,3.5908,2.9068,91.124,83.562,91.836,148.346,84.87,173.301,93.258,80.448,94.794,82.873,106.204,88.808,118.902,171.355,65.728,2.7715,0.02441999,176.0434,4.0333 4.0333,,2.0,0.0,4.0333,4.0333,4.0333,,,
6,AYENEZ,10.1039/C6DT03602C,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2016,45.0,17974,[NH2+]1CC[NH2+]CC1,[NH2+]1CC[NH2+]CC1.O.O.O.O,P21/c,14,292.0,7.4697,13.1773,13.9099,90.0,95.109,90.0,1363.719,2,4.51,alpha,Bi,I,2.8921,2.9596,3.2266,3.065,3.3114,3.0907,93.492,90.411,95.753,174.216,89.497,175.62,89.146,92.116,93.791,88.483,84.036,88.227,85.743,173.823,88.717,3.0909,0.00217136,11.4612,3.8001 3.8001 4.4371 4.4371 4.3383 4.3383,3.8001 3.8001,6.0,2.0,3.8001,4.1918,3.8001,direct,2.0,
7,AYENEZ01,10.1039/C6DT03602C,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2016,45.0,17974,[NH2+]1CC[NH2+]CC1,[NH2+]1CC[NH2+]CC1.O.O.O.O,P21/c,14,150.0,7.3508,13.0215,13.9875,90.0,94.588,90.0,1334.572,2,3.83,alpha,Bi,I,2.8911,2.9602,3.2148,3.0582,3.3014,3.0807,93.141,90.55,95.93,173.607,89.079,176.176,89.153,93.164,93.804,89.474,83.165,87.247,85.22,174.042,89.449,3.0844,0.00205994,13.555,3.7611 3.7611 4.3958 4.3958 4.2536 4.2536,3.7611 3.7611,6.0,2.0,3.7611,4.1368,3.7611,direct,2.0,
8,AYENOJ,10.1039/C6DT03602C,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2016,45.0,17974,[NH+](C)1CC[NH2+]CC1,[NH+](C)1CC[NH2+]CC1.O.O.O,P21/c,14,292.0,7.6488,13.1532,13.7033,90.0,96.481,90.0,1369.826,2,4.28,alpha,Bi,I,2.9043,2.9386,3.2369,3.061,3.2887,3.1066,94.62,89.358,94.457,172.756,88.645,174.045,88.264,91.911,94.924,87.01,84.379,89.589,88.861,175.368,87.675,3.0894,0.00208824,11.0706,3.8111 3.8111 4.3571 4.3571 4.2268 4.2268,3.8111 3.8111,6.0,2.0,3.8111,4.1317,3.8111,direct,1.95,
9,AYENOJ01,10.1039/C6DT03602C,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2016,45.0,17974,[NH+](C)1CC[NH2+]CC1,[NH+](C)1CC[NH2+]CC1.O.O.O,P21/c,14,150.0,7.5434,13.0515,13.6716,90.0,96.347,90.0,1337.756,2,3.23,alpha,Bi,I,2.8989,2.9358,3.2161,3.0453,3.2791,3.0993,94.469,89.519,94.33,172.603,88.452,174.546,88.153,92.448,94.979,87.837,83.753,88.837,88.501,175.644,88.342,3.0791,0.00199222,11.4177,3.7647 3.7647 4.3237 4.3237 4.1693 4.1693,3.7647 3.7647 4.1693 4.1693,6.0,4.0,3.7647,4.0859,3.967,direct,1.95,
10,AYEPAX,10.1039/C6DT03602C,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2016,45.0,17974,[NH+](C)1CC[NH+](C)CC1,[NH+](C)1CC[NH+](C)CC1.O.O,P21/c,14,286.0,7.7971,13.0868,13.5505,90.0,97.925,90.0,1369.475,2,4.25,alpha,Bi,I,2.9213,2.928,3.263,3.1181,3.251,3.0641,95.757,92.17,96.257,172.247,87.248,170.778,87.923,88.221,93.36,86.534,84.468,91.715,90.523,176.133,85.874,3.0909,0.00195401,15.109,4.0722 4.0722 4.2439 4.2439 3.8169 3.8169,4.0722 4.0722 3.8169 3.8169,6.0,4.0,3.8169,4.0443,3.9446,direct,1.92,
11,AYEPAX01,10.1039/C6DT03602C,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2016,45.0,17974,[NH+](C)1CC[NH+](C)CC1,[NH+](C)1CC[NH+](C)CC1.O.O,P21/c,14,150.0,7.7293,13.0336,13.499,90.0,97.955,90.0,1346.811,2,3.43,alpha,Bi,I,2.9226,2.9298,3.2553,3.1203,3.2395,3.0558,95.825,92.38,96.461,172.688,87.134,170.743,87.648,88.087,93.227,87.178,84.231,91.451,89.855,176.199,86.479,3.0872,0.00184317,14.9934,4.0148 4.0148 4.2096 4.2096 3.7787 3.7787,4.0148 4.0148 3.7787 3.7787,6.0,4.0,3.7787,4.001,3.8968,direct,1.92,
12,BAWVII,10.1016/j.poly.2022.115768,"Si-Hui Tan, Zhao-Hui Chen, Huan Luo, Ting Liu, Guo-Qing Zhong",Polyhedron ,2022,218.0,115768,c1cc2c(c3c(ccc[nH+]3)cc2)nc1,c1cc2c(c3c(ccc[nH+]3)cc2)nc1,P-1,2,293.0,7.2587,10.1703,12.1042,77.95,75.12,69.334,801.11,2,4.88,alpha,Bi,Cl,2.5012,2.5571,2.9327,2.753,2.9788,2.6991,94.455,90.351,92.792,171.143,89.419,170.824,89.991,90.39,93.489,81.96,85.9,94.372,94.622,175.723,82.879,2.737,0.00414769,19.3696,3.9553,,1.0,0.0,3.9553,3.9553,3.9553,,,
13,BAYFOZ,10.1002/ejic.201601087,"S.Pandey, Anju Nair, A.P.Andrews, A.Venugopal",Eur.J.Inorg.Chem. ,2017,,798,[NH3+]c1c(C(C)C)cccc1C(C)C,[NH3+]c1c(C(C)C)cccc1C(C)C,C2/c,15,296.0,17.694,14.605,7.754,90.0,106.706,90.0,1919.22,4,5.07,alpha,Bi,Br,2.6766,2.6766,3.1235,2.8783,3.1235,2.8783,90.526,89.771,92.018,173.014,89.574,173.014,89.574,89.771,92.018,83.44,90.781,94.963,94.963,177.738,83.44,2.8928,0.00399027,13.1663,6.1553 6.1553 6.1553 6.1553,,4.0,0.0,6.1553,6.1553,6.1553,indirect,1.87,"Probably, there are ingap cation state"
14,BEQQOD,10.1107/S0108270199008264,"M.Bujak, P.Osadczuk, J.Zaleski","Acta Crystallogr.,Sect.C:Cryst.Struct.Commun. ",1999,55.0,1443,CN(C)C(N(C)C)=[NH2+],CN(C)C(N(C)C)=[NH2+],P-1,2,92.0,7.818,8.849,10.333,101.18,104.81,103.72,646.261,1,2.0,alpha,Sb,Cl,2.3681,2.4507,2.9506,2.7972,3.2304,2.503,92.92,83.809,83.948,163.282,86.268,175.628,87.344,86.544,89.304,89.421,97.429,93.366,112.695,169.479,77.019,2.7167,0.01271458,78.847,3.2993,3.2993,1.0,1.0,3.2993,3.2993,3.2993,,,
15,BEQQOD01,10.1107/S0108270199008264,"M.Bujak, P.Osadczuk, J.Zaleski","Acta Crystallogr.,Sect.C:Cryst.Struct.Commun. ",1999,55.0,1443,CN(C)C(N(C)C)=[NH2+],CN(C)C(N(C)C)=[NH2+],P-1,2,295.0,7.873,8.985,10.412,101.55,104.51,103.52,666.563,1,3.5,alpha,Sb,Cl,2.3631,2.4423,2.9776,2.7905,3.2545,2.5009,93.162,84.361,84.582,163.181,86.564,175.144,87.626,87.24,89.164,87.981,96.342,94.845,112.229,170.399,76.627,2.7215,0.01371559,76.1497,3.3537,3.3537,1.0,1.0,3.3537,3.3537,3.3537,,,
16,BEXNOL,10.1016/j.molstruc.2022.134590,"M.Hamdouni, C.Hrizi, H.E.Ahmed, M.Knorr, Anna Krupp, C.Strohmann, S.Chaabouni",J.Mol.Struct. ,2023,1274.0,134590,[nH+]1cccc2ccccc12,[nH+]1cccc2ccccc12,Cc,9,100.0,15.2703,14.2742,7.4001,90.0,117.674,90.0,1428.488,4,5.28,alpha,Bi,I,2.6535,2.7524,3.3204,2.9427,3.2024,2.9275,93.969,91.763,91.407,173.733,89.586,172.049,87.846,92.218,93.968,86.508,82.177,91.576,89.824,177.868,88.987,2.9665,0.00618917,11.2046,4.0696 4.0696 4.7776 4.7776 4.563 4.563,4.0696 4.0696,6.0,2.0,4.0696,4.4701,4.0696,,,
17,CENHEL,10.1039/C7DT04280A,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2018,47.0,3469,[NH+](C)1CC[NH2+]CC1,[NH+](C)1CC[NH2+]CC1.O.O.O,P21/c,14,150.0,7.5306,12.9539,13.6147,90.0,96.086,90.0,1320.637,4,3.64,alpha,Sb,I,2.8278,2.8592,3.2168,2.9883,3.2804,3.0533,94.335,89.616,94.073,172.92,88.16,174.422,88.351,92.03,93.844,87.441,84.254,90.212,89.201,176.748,88.323,3.0376,0.00306311,9.4174,3.8101 3.8101 4.3713 4.3713 4.2034 4.2034,3.8101 3.8101,6.0,2.0,3.8101,4.1283,3.8101,direct,2.17,
18,CENMEQ,10.1039/C7DT04280A,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2018,47.0,3469,OC1[N+](C)=CC=CN1C,OC1[N+](C)=CC=CN1C,P21/c,14,150.0,10.5506,7.6199,19.9962,90.0,95.336,90.0,1600.618,4,4.25,alpha,Sb,I,2.8385,2.8559,3.2656,3.0683,3.2761,2.9886,94.348,94.43,95.552,174.117,87.478,169.054,87.769,89.115,95.912,84.886,82.705,90.994,89.326,175.055,87.435,3.0488,0.00330107,18.529,5.21 4.4286 4.4286 3.8505,3.8505,4.0,1.0,3.8505,4.4794,3.8505,direct,2.13,
19,CENMIU,10.1039/C7DT04280A,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2018,47.0,3469,OC1[N+](C)=CC=CN1C,OC1[N+](C)=CC=CN1C,P21/c,14,150.0,10.6424,7.638,20.0271,90.0,94.986,90.0,1621.776,4,3.73,alpha,Bi,I,2.9174,2.9296,3.2783,3.1222,3.2878,3.0511,94.815,94.864,96.871,174.119,87.284,168.475,87.288,88.83,96.542,85.358,82.05,90.151,87.896,174.115,87.718,3.0977,0.0022977,22.4872,5.1106 4.3158 4.3158 3.7872,3.7872,4.0,1.0,3.7872,4.3824,3.7872,direct,2.05,
20,CENNER,10.1039/C7DT04280A,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2018,47.0,3469,[NH+](C)1CC[NH+](C)CC1,C[NH+]1CC[NH+](C)CC1.O.O,P21/c,14,150.0,7.7213,12.8027,13.4527,90.0,97.377,90.0,1318.839,4,2.64,alpha,Sb,I,2.84,2.8498,3.2435,3.0671,3.2371,2.9895,95.468,91.598,95.029,172.379,87.569,171.317,87.469,88.74,92.776,86.89,84.815,92.559,91.495,177.357,85.881,3.0378,0.00288408,12.8781,4.0091 4.0091 4.2272 4.2272 3.7961 3.7961,4.0091 4.0091 3.7961 3.7961,6.0,4.0,3.7961,4.0108,3.9026,direct,2.12,
21,CENNER01,10.1039/C7DT04280A,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2018,47.0,3469,[NH+](C)1CC[NH+](C)CC1,C[NH+]1CC[NH+](C)CC1.O.O,P21/c,14,150.0,7.5751,12.102,14.5071,90.0,92.63,90.0,1328.521,4,2.9,alpha,Sb,I,2.8206,2.87,3.1943,3.1283,3.2946,2.9418,92.996,89.921,96.747,175.458,91.11,175.916,87.606,90.369,91.686,89.214,86.875,91.116,86.435,172.137,85.739,3.0416,0.00329846,9.7219,4.4177 4.4177 4.8984 4.8984 3.8779 3.8779 3.9119 3.9119,3.8779 3.8779 3.9119 3.9119,8.0,4.0,3.8779,4.2765,3.8949,direct,2.12,
22,CENNUH,10.1039/C7DT04280A,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2018,47.0,3469,CCN1C(C)=[NH+]c2ccccc12,CCN1C(C)=[NH+]c2ccccc12,P21/n,14,150.0,7.5877,17.7055,13.2578,90.0,94.309,90.0,1776.072,4,4.91,alpha,Sb,I,2.8331,2.8373,3.2605,3.0328,3.2717,3.023,95.675,91.245,93.33,171.739,89.335,172.093,88.946,91.576,93.898,86.832,81.805,89.994,90.75,175.897,86.221,3.0431,0.00335636,14.1921,4.0558 4.0558,4.0558 4.0558,2.0,2.0,4.0558,4.0558,4.0558,direct,2.33,
23,CENQIY,10.1039/C7DT04280A,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2018,47.0,3469,CCN1C(C)=[NH+]c2ccccc12,CCN1C(C)=[NH+]c2ccccc12,C2/c,15,150.0,13.3133,17.7312,7.6344,90.0,93.45,90.0,1798.916,4,1.97,alpha,Bi,I,2.9132,2.9132,3.2873,3.0928,3.2873,3.0928,96.118,91.195,94.242,171.953,89.152,171.953,89.152,91.195,94.242,86.956,81.717,89.207,89.207,174.927,86.956,3.0978,0.00243196,15.101,3.9358 3.9358 3.9358 3.9358,3.9358 3.9358 3.9358 3.9358,4.0,4.0,3.9358,3.9358,3.9358,direct,2.03,
24,CIRJIA,10.1002/anie.202309913,"Bo Zhou, Zhenhong Qi, Meiqi Dai, Chang Xing, Dongpeng Yan","Angew.Chem.,Int.Ed. ",2023,62.0,,[nH+]1ccc(N(C)C)cc1,[nH+]1ccc(N(C)C)cc1,P21/c,14,100.0,11.739,15.4066,7.3544,90.0,107.198,90.0,1270.632,4,4.48,alpha,Sb,Cl,2.3969,2.4092,3.1171,2.7089,3.1533,2.5726,93.1,88.1,89.268,175.189,88.887,174.432,89.01,47.947,90.49,85.572,94.937,94.971,94.678,178.059,87.136,2.7263,0.01273701,171.2225,3.9732 3.9192,,2.0,0.0,3.9192,3.9462,3.9192,direct,,
25,COHLAM,10.1515/znb-1984-0903,"D.Brodalla, A.Lipka","Z.Naturforsch.,B:Chem.Sci. ",1984,39.0,1167,OCC[NH+](CCO)CCO,OCC[NH+](CCO)CCO,Pna21,33,295.0,18.437,10.521,7.197,90.0,90.0,90.0,1396.043,4,5.5,alpha,Sb,Cl,2.3923,2.4532,2.902,4.6274,3.3208,2.4026,90.517,83.147,113.847,169.467,91.321,173.623,130.734,84.916,91.549,53.475,101.209,87.882,76.092,127.554,79.345,3.0164,0.06932433,347.9427,3.8668 3.8668,,2.0,0.0,3.8668,3.8668,3.8668,,,
26,COPWEK,10.1021/ic801900r,"N.Louvain, N.Mercier, F.Boucher",Inorg.Chem. ,2009,48.0,879,[NH3+]C1CCC(C(O)=O)CC1,[NH3+]C1CCC(C(O)=O)CC1,P-1,2,293.0,8.1071,9.871,12.271,68.97,83.37,83.48,907.693,2,4.11,alpha,Bi,I,2.9241,2.9663,3.213,3.1947,3.3,3.0294,93.593,90.335,95.757,169.293,89.338,166.156,81.234,94.754,92.088,85.169,83.117,101.236,92.136,171.821,83.671,3.1046,0.00199569,35.6352,4.2727 4.2727 4.4648,,3.0,0.0,4.2727,4.3367,4.2727,direct,2.1,
27,COXWAO,10.1039/b819473d,"Gang Xu, Yan Li, Wei-Wei Zhou, Guo-Jian Wang, Xi-Fa Long, Li-Zhen Cai, Ming-Sheng Wang, Guo-Cong Guo, Jin-Shun Huang, G.Bator, R.Jakubas",J.Mater.Chem. ,2009,19.0,2179,C[N+](C)(C)c1ccc(cc1)C=Cc2cc[n+](C)cc2,C[N+](C)(C)c1ccc(cc1)C=Cc2cc[n+](C)cc2,Pna21,33,293.0,32.458,7.1893,11.7654,90.0,90.0,90.0,2745.46,4,5.91,alpha,Bi,Cl,2.5213,2.5338,2.916,2.7196,2.9739,2.7192,92.8,90.4,92.656,169.65,87.545,170.532,89.061,92.512,97.936,81.929,85.732,91.04,96.136,172.906,83.102,2.7306,0.00396763,24.563,3.971 3.971 3.7877 3.7877,,4.0,0.0,3.7877,3.8794,3.7877,,,
28,COXYUM,10.1021/acs.inorgchem.9b01439,"Yue-Qiao Hu, Hong-Yan Hui, Wei-Quan Lin, Hong-Qiang Wen, De-Suo Yang, Guo-Dong Feng",Inorg.Chem. ,2019,58.0,16346,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,Pca21,29,297.0,7.6794,14.7708,24.7838,90.0,90.0,90.0,2811.248,4,6.61,alpha,Bi Sb,I,2.8354,3.0662,3.0726,3.063,3.3627,3.0726,92.317,92.284,91.196,169.938,90.975,175.346,90.221,87.818,89.841,89.344,87.544,90.43,88.947,176.366,89.126,3.0788,0.00334206,13.4821,4.134 5.0193 3.9458 4.3797 4.2389 3.9566 4.1408,4.134 3.9458 3.9566 4.1408,5.5,4.0,3.9458,4.2593,4.0443,direct,2.03,
29,COXZAT,10.1021/acs.inorgchem.9b01439,"Yue-Qiao Hu, Hong-Yan Hui, Wei-Quan Lin, Hong-Qiang Wen, De-Suo Yang, Guo-Dong Feng",Inorg.Chem. ,2019,58.0,16346,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,P21/c,14,100.0,12.239,14.7424,7.5711,90.0,95.294,90.0,1360.243,4,7.9,alpha,Sb,I,2.7982,2.8762,3.2124,3.0332,3.382,3.0537,94.016,87.74,93.961,169.492,89.619,178.096,89.249,95.756,90.536,89.894,82.544,90.213,90.028,176.42,86.437,3.0593,0.00409554,12.6725,4.0665 4.9671 3.9157 3.9157 4.076 4.2275 4.2275,4.0665 3.9157 3.9157 4.076,7.0,4.0,3.9157,4.1994,3.9935,direct,2.2,
30,COXZAT01,10.1021/acs.inorgchem.9b01439,"Yue-Qiao Hu, Hong-Yan Hui, Wei-Quan Lin, Hong-Qiang Wen, De-Suo Yang, Guo-Dong Feng",Inorg.Chem. ,2019,58.0,16346,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,C2/c,15,296.0,14.336,14.606,7.7473,90.0,118.947,90.0,1419.552,4,3.39,alpha,Sb,I,2.8215,2.8215,3.3335,3.0451,3.3335,3.0451,94.733,89.456,91.474,175.315,90.149,175.315,90.149,89.456,91.474,87.642,86.439,90.611,90.611,177.603,87.642,3.0667,0.00467045,4.721,4.1548 4.1548 4.1548 4.1548 4.1332 4.1332 4.1332 4.1332,4.1548 4.1548 4.1548 4.1548 4.1332 4.1332 4.1332 4.1332,8.0,8.0,4.1332,4.144,4.144,direct,2.2,
31,COXZEX,10.1021/acs.inorgchem.9b01439,"Yue-Qiao Hu, Hong-Yan Hui, Wei-Quan Lin, Hong-Qiang Wen, De-Suo Yang, Guo-Dong Feng",Inorg.Chem. ,2019,58.0,16346,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,P21/c,14,296.0,12.274,14.697,7.6009,90.0,95.568,90.0,1364.664,4,5.9,alpha,Bi,Br I,2.8349,2.9012,3.2199,3.0918,3.3514,3.089,94.482,87.563,94.18,169.667,90.043,177.787,89.811,95.44,91.16,89.197,82.56,89.681,88.733,175.58,86.882,3.0814,0.00325585,12.9003,4.0424 4.9451 3.8761 3.8761 4.06 4.1827 4.1827,4.0424 3.8761 3.8761 4.06 4.1827 4.1827,7.0,6.0,3.8761,4.1664,4.0367,direct,2.13,
32,COXZIB,10.1021/acs.inorgchem.9b01439,"Yue-Qiao Hu, Hong-Yan Hui, Wei-Quan Lin, Hong-Qiang Wen, De-Suo Yang, Guo-Dong Feng",Inorg.Chem. ,2019,58.0,16346,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,I2/a,15,293.0,7.5476,14.2234,12.2607,90.0,92.478,90.0,1314.986,4,2.98,alpha,Sb,Br I,2.7305,2.7305,3.2994,3.014,3.2994,3.014,94.298,89.743,91.537,175.889,90.391,175.889,90.391,89.743,91.537,88.741,86.227,89.191,89.191,177.166,88.741,3.0146,0.00593544,3.85,4.0448 4.0448 4.0448 4.0448 3.9965 3.9965 3.9965 3.9965,4.0448 4.0448 4.0448 4.0448 3.9965 3.9965 3.9965 3.9965,8.0,8.0,3.9965,4.0206,4.0206,direct,2.41,
33,COXZOH,10.1021/acs.inorgchem.9b01439,"Yue-Qiao Hu, Hong-Yan Hui, Wei-Quan Lin, Hong-Qiang Wen, De-Suo Yang, Guo-Dong Feng",Inorg.Chem. ,2019,58.0,16346,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,I2/a,15,100.0,7.5593,14.2735,12.2588,90.0,92.854,90.0,1321.055,2,5.86,alpha,Bi Sb,Br I,2.7825,2.7825,3.278,3.0384,3.278,3.0384,94.234,90.002,91.378,175.74,90.952,175.74,90.952,90.002,91.378,88.497,85.765,88.994,88.994,176.576,88.497,3.033,0.00444997,4.365,4.0183 4.0183 4.0183 4.0183 3.9922 3.9922 3.9922 3.9922,4.0183 4.0183 4.0183 4.0183 3.9922 3.9922 3.9922 3.9922,8.0,8.0,3.9922,4.0052,4.0052,direct,2.27,
34,COXZUN,10.1021/acs.inorgchem.9b01439,"Yue-Qiao Hu, Hong-Yan Hui, Wei-Quan Lin, Hong-Qiang Wen, De-Suo Yang, Guo-Dong Feng",Inorg.Chem. ,2019,58.0,16346,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,P21/c,14,297.0,11.6614,14.0739,7.3443,90.0,94.755,90.0,1201.208,4,1.88,alpha,Bi,Br,2.6428,2.7084,3.0609,2.8877,3.1814,2.8814,93.744,87.014,93.466,169.449,90.012,176.696,89.306,95.781,91.074,87.437,83.734,92.143,91.183,176.47,85.287,2.8938,0.00414386,13.0944,3.7986 3.7986 3.8296 4.1588 4.1588 3.8662,3.7986 3.7986,6.0,2.0,3.7986,3.9351,4.0052,direct,2.55,
35,COXZUN01,10.1107/S2053229620006130,"L.Senior, Anthony Linden","Acta Crystallogr.,Sect.C:Cryst.Struct.Chem. ",2020,76.0,562,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,P21/c,14,160.0,11.6622,14.08143,7.35193,90.0,94.7149,90.0,1203.252,4,2.31,alpha,Bi,Br,2.6431,2.7079,3.062,2.8846,3.1822,2.8787,93.701,87.02,93.451,169.463,90.018,176.605,89.314,95.755,91.047,87.33,83.81,92.271,91.301,176.482,85.181,2.8931,0.0041654,13.1538,3.8043 3.8043 3.8279 4.1632 4.1632 3.8661,,6.0,0.0,3.8043,3.9382,3.8043,direct,2.55,
36,COXZUN02,10.1107/S2056989020003138,"T.P.Mawhinney, Y.Li, D.L.Chance, S.P.Kelley, V.V.Mossine","Acta Crystallogr.,Sect.E:Cryst.Commun. ",2020,76.0,562,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,P21/c,14,160.0,11.6622,14.08143,7.35193,90.0,94.7149,90.0,1203.252,4,2.31,no data,Bi,Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direct,2.55,
37,COYBAW,10.1021/acs.inorgchem.9b01439,"Yue-Qiao Hu, Hong-Yan Hui, Wei-Quan Lin, Hong-Qiang Wen, De-Suo Yang, Guo-Dong Feng",Inorg.Chem. ,2019,58.0,16346,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,P21/c,14,100.0,11.4915,14.0271,7.3854,90.0,92.978,90.0,1188.863,4,1.91,alpha,Sb,Br,2.5553,2.6071,3.1371,2.8246,3.27,2.8114,93.862,85.768,91.946,169.385,89.235,176.52,88.278,95.55,89.736,88.277,85.132,93.718,93.231,177.753,85.915,2.8676,0.00820774,12.6046,3.851 3.858 3.858 3.843 4.141 4.141,,6.0,0.0,3.843,3.9487,3.843,direct,2.73,
